frame,timestamp,iso,shutter,fnum,ev,ct,color_md,focal_len,latitude,longitude,rel_alt,abs_alt
0,2022-10-07 17:52:13.500,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
1,2022-10-07 17:52:13.533,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
2,2022-10-07 17:52:13.566,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
3,2022-10-07 17:52:13.600,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
4,2022-10-07 17:52:13.633,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
5,2022-10-07 17:52:13.666,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
6,2022-10-07 17:52:13.701,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
7,2022-10-07 17:52:13.733,270,1/100.0,2.8,0.0,6545,default,24.0,37.38892,126.66295,146.0,94.465
8,2022-10-07 17:52:13.767,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
9,2022-10-07 17:52:13.801,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
10,2022-10-07 17:52:13.833,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
11,2022-10-07 17:52:13.866,270,1/100.0,2.8,0.0,6544,default,24.0,37.38892,126.66295,146.0,94.465
12,2022-10-07 17:52:13.901,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
13,2022-10-07 17:52:13.933,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
14,2022-10-07 17:52:13.967,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
15,2022-10-07 17:52:14.001,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
16,2022-10-07 17:52:14.033,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
17,2022-10-07 17:52:14.067,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
18,2022-10-07 17:52:14.101,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
19,2022-10-07 17:52:14.133,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
20,2022-10-07 17:52:14.167,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
21,2022-10-07 17:52:14.201,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
22,2022-10-07 17:52:14.233,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
23,2022-10-07 17:52:14.267,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
24,2022-10-07 17:52:14.301,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
25,2022-10-07 17:52:14.334,270,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
26,2022-10-07 17:52:14.367,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
27,2022-10-07 17:52:14.401,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
28,2022-10-07 17:52:14.433,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
29,2022-10-07 17:52:14.467,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
30,2022-10-07 17:52:14.501,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
31,2022-10-07 17:52:14.534,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
32,2022-10-07 17:52:14.567,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
33,2022-10-07 17:52:14.601,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
34,2022-10-07 17:52:14.634,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
35,2022-10-07 17:52:14.667,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
36,2022-10-07 17:52:14.701,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
37,2022-10-07 17:52:14.734,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
38,2022-10-07 17:52:14.767,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
39,2022-10-07 17:52:14.802,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
40,2022-10-07 17:52:14.834,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
41,2022-10-07 17:52:14.867,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
42,2022-10-07 17:52:14.901,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
43,2022-10-07 17:52:14.934,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
44,2022-10-07 17:52:14.968,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
45,2022-10-07 17:52:15.002,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
46,2022-10-07 17:52:15.034,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
47,2022-10-07 17:52:15.068,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
48,2022-10-07 17:52:15.101,280,1/100.0,2.8,0.0,6543,default,24.0,37.38892,126.66295,146.0,94.465
49,2022-10-07 17:52:15.134,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
50,2022-10-07 17:52:15.168,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
51,2022-10-07 17:52:15.202,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
52,2022-10-07 17:52:15.234,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
53,2022-10-07 17:52:15.268,280,1/100.0,2.8,0.0,6542,default,24.0,37.38892,126.66295,146.0,94.465
54,2022-10-07 17:52:15.302,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
55,2022-10-07 17:52:15.334,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
56,2022-10-07 17:52:15.368,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
57,2022-10-07 17:52:15.403,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
58,2022-10-07 17:52:15.435,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
59,2022-10-07 17:52:15.468,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
60,2022-10-07 17:52:15.502,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
61,2022-10-07 17:52:15.535,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
62,2022-10-07 17:52:15.568,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
63,2022-10-07 17:52:15.602,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
64,2022-10-07 17:52:15.635,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
65,2022-10-07 17:52:15.668,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
66,2022-10-07 17:52:15.702,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
67,2022-10-07 17:52:15.735,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
68,2022-10-07 17:52:15.768,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
69,2022-10-07 17:52:15.802,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
70,2022-10-07 17:52:15.835,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
71,2022-10-07 17:52:15.868,280,1/100.0,2.8,0.0,6541,default,24.0,37.38892,126.66295,146.0,94.465
